record_id,external_station_id,candidate_rank,match_score,score_margin,match_method,distance_m,operator_match,postcode_match,address_token_overlap,shared_address_token_count,power_compatible,input_operator,external_operator,input_address,input_power_kw,input_plug_count,external_title,external_address_line_1,external_address_line_2,external_town,external_postcode,connector_types,external_power_kw_values,external_connection_quantity,external_number_of_points,external_status,external_usage_type,external_usage_cost,external_last_verified,data_provider,suggested_decision,suggested_reason,review_decision,review_notes
ev_357c3ca140819629070a2e9b19d8727c0411780adcc388593c413bb502f677e4,312274,6,8,,rejected_candidate,542423.2,True,False,0.5,1,False,Tesla,Tesla (including non-tesla),"1 Bay St, Sydney, 2037",130.0,16,Tesla Supercharger - Coles Tenterfield,1 Crown St,,Tenterfield,2372,CCS (Type 2),250,12,3,Operational,Public - Membership Required,$0.69/kWh,2025-05-07T05:24:00Z,Open Charge Map Contributors,reject,Not the strongest candidate or evidence is insufficient.,,
ev_357c3ca140819629070a2e9b19d8727c0411780adcc388593c413bb502f677e4,504658,7,8,,rejected_candidate,728515.3,True,False,0.5,1,False,Tesla,Tesla (including non-tesla),"1 Bay St, Sydney, 2037",130.0,16,Laverton Supercharger,1 Central Avenue,Altona Meadows,,3028,CCS (Type 2),250,6,6,Operational,Public - Membership Required,,2026-08-18T01:58:00Z,Open Charge Map Contributors,reject,Not the strongest candidate or evidence is insufficient.,,
ev_357c3ca140819629070a2e9b19d8727c0411780adcc388593c413bb502f677e4,202117,8,8,,rejected_candidate,2695681.5,True,False,0.5,1,False,Tesla,Tesla (Tesla-only charging),"1 Bay St, Sydney, 2037",130.0,16,Comfort Inn (1),The Esplanade,,Esperance,,Type 2 (Tethered Connector) ,22,1,1,Operational,Public,See reception for details,2022-09-07T08:15:00Z,Open Charge Map Contributors,reject,Not the strongest candidate or evidence is insufficient.,,
ev_357c3ca140819629070a2e9b19d8727c0411780adcc388593c413bb502f677e4,175224,9,8,,rejected_candidate,3268464.9,True,False,0.5,1,False,Tesla,Tesla (Tesla-only charging),"1 Bay St, Sydney, 2037",130.0,16,Byford Hungry Jacks,1 Beenyup Rd,,Byford,6122,Tesla (Model S/X),22,2,2,Operational,Public,Free,2021-11-08T21:37:00Z,Open Charge Map Contributors,reject,Not the strongest candidate or evidence is insufficient.,,
ev_357c3ca140819629070a2e9b19d8727c0411780adcc388593c413bb502f677e4,54547,10,4,,rejected_candidate,2023.2,True,False,0.0,0,False,Tesla,Tesla (Tesla-only charging),"1 Bay St, Sydney, 2037",130.0,16,Westfield Sydney - Valet Parking,135 King Street,,Sydney,2000,Tesla (Model S/X),7.6,2,2,Operational,Public,Free,2017-01-31T16:45:00Z,Open Charge Map Contributors,reject,Not the strongest candidate or evidence is insufficient.,,
ev_357c3ca140819629070a2e9b19d8727c0411780adcc388593c413bb502f677e4,272614,11,0,,rejected_candidate,1349.0,False,False,0.0,0,False,Tesla,Chargefox,"1 Bay St, Sydney, 2037",130.0,16,Mirvac South Eveleigh,2 Central Avenue,,Eveleigh,2015,CCS (Type 2) | CHAdeMO | Type 2 (Socket Only),22 | 50,8,4,Operational,Public - Membership Required,Free,2023-07-15T07:56:00Z,Open Charge Map Contributors,reject,Not the strongest candidate or evidence is insufficient.,,
ev_357c3ca140819629070a2e9b19d8727c0411780adcc388593c413bb502f677e4,150024,12,0,,rejected_candidate,2819.8,False,False,0.0,0,False,Tesla,(Unknown Operator),"1 Bay St, Sydney, 2037",130.0,16,Supa Centa Moore Park,,,Kensington,2033,Tesla (Model S/X),17,1,1,Operational,Public,Free,2020-06-10T21:39:00Z,Open Charge Map Contributors,reject,Not the strongest candidate or evidence is insufficient.,,
ev_357c3ca140819629070a2e9b19d8727c0411780adcc388593c413bb502f677e4,272616,13,0,,rejected_candidate,2977.9,False,False,0.0,0,False,Tesla,Chargefox,"1 Bay St, Sydney, 2037",130.0,16,NRMA - Sydney,4 Defries Avenue,,Zetland,2017,CCS (Type 2) | CHAdeMO,50 | 350,4,4,Operational,Public - Membership Required,$0.45 - $0.60/kWh,2023-07-15T08:58:00Z,Open Charge Map Contributors,reject,Not the strongest candidate or evidence is insufficient.,,
ev_3a32c9499c919b9eee3b1d259654ae2aa107785987c99e7e5ae70ffe256a573f,100404,1,6,0,manual_review,1671.7,True,False,0.333,1,False,Tesla,Tesla (Tesla-only charging),"1 Dalgal Way, Sydney, 2037",250.0,4,Broadway Supercharger,1 Bay Street,,Broadway,2007,CCS (Type 2),120,8,8,Operational,Public - Membership Required,AUD 0.42/kWh;other tariffs for older cars,2025-03-21T01:01:00Z,Open Charge Map Contributors,manual_review,Top candidate has partial evidence but does not satisfy the high-confidence rule.,,
ev_3a32c9499c919b9eee3b1d259654ae2aa107785987c99e7e5ae70ffe256a573f,311308,2,6,,rejected_candidate,1713.2,True,False,0.333,1,False,Tesla,Tesla (including non-tesla),"1 Dalgal Way, Sydney, 2037",250.0,4,Tesla Destination Charger,1 Bay Street,,Broadway,2007,CCS (Type 2),22,3,3,Operational,Public,0,2025-03-29T03:34:00Z,Open Charge Map Contributors,reject,Not the strongest candidate or evidence is insufficient.,,
ev_3a32c9499c919b9eee3b1d259654ae2aa107785987c99e7e5ae70ffe256a573f,54547,3,4,,rejected_candidate,2905.4,True,False,0.0,0,False,Tesla,Tesla (Tesla-only charging),"1 Dalgal Way, Sydney, 2037",250.0,4,Westfield Sydney - Valet Parking,135 King Street,,Sydney,2000,Tesla (Model S/X),7.6,2,2,Operational,Public,Free,2017-01-31T16:45:00Z,Open Charge Map Contributors,reject,Not the strongest candidate or evidence is insufficient.,,
ev_3a32c9499c919b9eee3b1d259654ae2aa107785987c99e7e5ae70ffe256a573f,272614,4,0,,rejected_candidate,2684.2,False,False,0.0,0,False,Tesla,Chargefox,"1 Dalgal Way, Sydney, 2037",250.0,4,Mirvac South Eveleigh,2 Central Avenue,,Eveleigh,2015,CCS (Type 2) | CHAdeMO | Type 2 (Socket Only),22 | 50,8,4,Operational,Public - Membership Required,Free,2023-07-15T07:56:00Z,Open Charge Map Contributors,reject,Not the strongest candidate or evidence is insufficient.,,
ev_3a32c9499c919b9eee3b1d259654ae2aa107785987c99e7e5ae70ffe256a573f,272673,5,0,,rejected_candidate,2698.4,False,False,0.0,0,False,Tesla,Evie,"1 Dalgal Way, Sydney, 2037",250.0,4,Leichhardt Marketplace,128 Flood Street,,Leichhardt,2040,CCS (Type 2) | CHAdeMO,50,4,2,Operational,Public - Membership Required,,2023-07-16T12:44:00Z,Open Charge Map Contributors,reject,Not the strongest candidate or evidence is insufficient.,,
ev_53fd601d36c25a323642c8ff07423030ff11df8a8e0dbf506b0cbaeff0a42cec,497957,1,9,1,manual_review,249535.0,True,False,0.5,1,True,Evie,Evie,"1 Frederick St, Sydney, 2064",150.0,6,"Gordon St, Civic",1 Gordon St,,Civic,2601,CCS (Type 2),150,4,4,Operational,Public,,2026-07-12T03:22:00Z,Open Charge Map Contributors,manual_review,Top candidate has partial evidence but does not satisfy the high-confidence rule.,,
ev_53fd601d36c25a323642c8ff07423030ff11df8a8e0dbf506b0cbaeff0a42cec,272688,2,8,,rejected_candidate,30296.2,True,False,0.5,1,False,Evie,Evie,"1 Frederick St, Sydney, 2064",150.0,6,Casula Mall,1 Ingham Dr,,Casula,2170,CCS (Type 2) | CHAdeMO,50,4,2,Operational,Public - Membership Required,,2023-07-16T22:04:00Z,Open Charge Map Contributors,reject,Not the strongest candidate or evidence is insufficient.,,
ev_53fd601d36c25a323642c8ff07423030ff11df8a8e0dbf506b0cbaeff0a42cec,498043,3,8,,rejected_candidate,246531.5,True,False,0.5,1,False,Evie,Evie,"1 Frederick St, Sydney, 2064",150.0,6,Southwell Park,1 Mouat St,,Lyneham,2602,CCS (Type 2) | Type 2 (Socket Only),22 | 75,8,8,Operational,Public,,2026-07-12T04:47:00Z,Open Charge Map Contributors,reject,Not the strongest candidate or evidence is insufficient.,,
ev_53fd601d36c25a323642c8ff07423030ff11df8a8e0dbf506b0cbaeff0a42cec,207833,4,8,,rejected_candidate,247193.4,True,False,0.5,1,False,Evie,Evie,"1 Frederick St, Sydney, 2064",150.0,6,Vibe Hotel,1 Rogan St,,Canberra,2609,CCS (Type 2) | Type I (AS 3112),50,3,2,Operational,Public,$0.50/kWh Parking is $10.40 per night for Vibe Hotel guests,2026-07-12T04:52:00Z,Open Charge Map Contributors,reject,Not the strongest candidate or evidence is insufficient.,,
ev_53fd601d36c25a323642c8ff07423030ff11df8a8e0dbf506b0cbaeff0a42cec,498045,5,8,,rejected_candidate,254681.8,True,False,0.5,1,False,Evie,Evie,"1 Frederick St, Sydney, 2064",150.0,6,Wilson Carpark King St,1 King St,,Deakin,2600,CCS (Type 2) | CHAdeMO,63 | 75,4,4,Operational,Public,,2026-07-12T04:57:00Z,Open Charge Map Contributors,reject,Not the strongest candidate or evidence is insufficient.,,
ev_53fd601d36c25a323642c8ff07423030ff11df8a8e0dbf506b0cbaeff0a42cec,497954,6,8,,rejected_candidate,255651.8,True,False,0.5,1,False,Evie,Evie,"1 Frederick St, Sydney, 2064",150.0,6,Curtin Shops,1 Curtin Pl,,Curtin,2605,CCS (Type 2),50,4,4,Operational,Public,,2026-07-12T03:07:00Z,Open Charge Map Contributors,reject,Not the strongest candidate or evidence is insufficient.,,
ev_53fd601d36c25a323642c8ff07423030ff11df8a8e0dbf506b0cbaeff0a42cec,271003,7,8,,rejected_candidate,696938.8,True,False,0.5,1,False,Evie,Evie,"1 Frederick St, Sydney, 2064",150.0,6,Evie Kerang,1 -3 Albert St,,Kerang,3579,CCS (Type 2) | CHAdeMO,50,2,1,Operational,Public - Membership Required,$0.40 per kWh. Idle fee $4 per hour,2023-07-10T02:38:00Z,Open Charge Map Contributors,reject,Not the strongest candidate or evidence is insufficient.,,
ev_53fd601d36c25a323642c8ff07423030ff11df8a8e0dbf506b0cbaeff0a42cec,210774,8,8,,rejected_candidate,718782.3,True,False,0.5,1,False,Evie,Evie,"1 Frederick St, Sydney, 2064",150.0,6,Kyneton,1 Hutton Street,,Kyneton ,3444,CCS (Type 2) | CHAdeMO,50,2,1,Operational,Public - Membership Required,Payment Required $0.40 per kWh parking overstay charges may apply.,2023-07-06T20:52:00Z,Open Charge Map Contributors,reject,Not the strongest candidate or evidence is insufficient.,,
